Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Account_Type,Status
2025-01-02,Transfer to Karen,Transfer:Karen,8000.00,,banregio-2025-01.pdf,debit,
2025-01-03,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-01.pdf,debit,
2025-01-09,Transfer to Karen,Transfer:Karen,10000.00,,banregio-2025-01.pdf,debit,
2025-01-10,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-01.pdf,debit,
2025-01-17,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-01.pdf,debit,
2025-01-23,Transfer to Karen,Transfer:Karen,3500.00,,banregio-2025-01.pdf,debit,
2025-01-24,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-01.pdf,debit,
2025-01-28,Transfer to Karen,Transfer:Karen,1000.00,,banregio-2025-01.pdf,debit,
2025-01-31,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-01.pdf,debit,
2025-02-04,Transfer to Karen,Transfer:Karen,1100.00,,banregio-2025-02.pdf,debit,
2025-02-10,Transfer to Karen,Transfer:Karen,4500.00,,banregio-2025-02.pdf,debit,
2025-02-11,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-02.pdf,debit,
2025-02-13,Transfer to Karen,Transfer:Karen,2000.00,,banregio-2025-02.pdf,debit,
2025-02-17,Transfer to Karen,Transfer:Karen,4000.00,,banregio-2025-02.pdf,debit,
2025-02-18,Mortgage Payment,Housing:Mortgage,25379.73,,banregio-2025-02.pdf,debit,
2025-02-19,Transfer to Karen,Transfer:Karen,2000.00,,banregio-2025-02.pdf,debit,
2025-02-20,Transfer to Karen,Transfer:Karen,3860.00,,banregio-2025-02.pdf,debit,
2025-02-25,Transfer to Karen,Transfer:Karen,1000.00,,banregio-2025-02.pdf,debit,
2025-03-03,Transfer to Karen,Transfer:Karen,3500.00,,banregio-2025-03.pdf,debit,
2025-03-03,Transfer to Karen,Transfer:Karen,900.00,,banregio-2025-03.pdf,debit,
2025-03-07,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-03.pdf,debit,
2025-03-10,Transfer to Karen,Transfer:Karen,1000.00,,banregio-2025-03.pdf,debit,
2025-03-13,Transfer to Karen,Transfer:Karen,200.00,,banregio-2025-03.pdf,debit,
2025-03-13,Transfer to Karen,Transfer:Karen,300.00,,banregio-2025-03.pdf,debit,
2025-03-14,Transfer to Karen,Transfer:Karen,5099.00,,banregio-2025-03.pdf,debit,
