Fecha,Fecha de Compra,Descripción,Importe
31 Mar 2025,31 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,-3.01
31 Mar 2025,01 Apr 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,330.00
30 Mar 2025,30 Mar 2025,ANTHROPIC               SAN FRANCISCO,1047.56
30 Mar 2025,30 Mar 2025,"GITHUB, INC.            SAN FRANCISCO",293.31
30 Mar 2025,30 Mar 2025,UBER TRIP               HTTPS://HELP.UB,63.66
30 Mar 2025,30 Mar 2025,UBER TRIP               HTTPS://HELP.UB,166.05
30 Mar 2025,31 Mar 2025,ZTL*CEVICHI BICHI __    CDMX,1431.75
29 Mar 2025,29 Mar 2025,BAR ISAAK HOSPEDAJE     MEXICO,775.50
29 Mar 2025,31 Mar 2025,OEL*ABYSSMO             CUAHUTEMOC,1650.00
29 Mar 2025,30 Mar 2025,PASTELERIA FICELLE      CIUDAD DE MEX,128.00
28 Mar 2025,29 Mar 2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,419.02
28 Mar 2025,29 Mar 2025,ENO ROMA                MEXICO,462.00
28 Mar 2025,29 Mar 2025,REST DRUNKENDOG 0001449 CIUDAD DE MEX,554.87
27 Mar 2025,28 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,369.00
27 Mar 2025,28 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,549.00
27 Mar 2025,27 Mar 2025,AUDIBLE*4T4C88LU3       AMZN.COM/BILL,311.96
27 Mar 2025,27 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00
27 Mar 2025,27 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,713.80
27 Mar 2025,28 Mar 2025,REST DR PIZZA CONDESA 0 CIUDAD DE MEX,805.00
27 Mar 2025,28 Mar 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,374.00
26 Mar 2025,27 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,424.15
26 Mar 2025,26 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,565.00
26 Mar 2025,27 Mar 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,669.00
26 Mar 2025,26 Mar 2025,AMAZON MX*AD FREE FOR P MEXICO CITY,50.00
26 Mar 2025,27 Mar 2025,BILLPOCKET*CAFE V 15ADD CUAUHTEMOC,4650.00
26 Mar 2025,26 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,450.80
26 Mar 2025,27 Mar 2025,RESTAURAT CAMOMILA      CIUDAD DE MEX,370.70
25 Mar 2025,27 Mar 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
25 Mar 2025,26 Mar 2025,PALACIODEHIERRO DURANGO MEXICO,1499.00
25 Mar 2025,25 Mar 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,761.80
