Fecha,Fecha de Compra,Descripción,Importe
31 Jan 2025,01 Feb 2025,ATARANTADOS             CIUDAD DE MEX,380.60
31 Jan 2025,31 Jan 2025,GRACIAS POR SU PAGO EN LINEA,-50000.00
31 Jan 2025,31 Jan 2025,GRACIAS POR SU PAGO EN LINEA,-49900.00
31 Jan 2025,31 Jan 2025,GRACIAS POR SU PAGO EN LINEA,-49800.00
31 Jan 2025,31 Jan 2025,GRACIAS POR SU PAGO EN LINEA,-49700.00
31 Jan 2025,31 Jan 2025,GRACIAS POR SU PAGO EN LINEA,-49600.00
31 Jan 2025,31 Jan 2025,GRACIAS POR SU PAGO EN LINEA,-49500.00
31 Jan 2025,31 Jan 2025,GRACIAS POR SU PAGO EN LINEA,-16086.84
31 Jan 2025,01 Feb 2025,OFFICE DEPOT HAMBURGO   MEXICO,138.00
30 Jan 2025,30 Jan 2025,"GITHUB, INC.            SAN FRANCISCO",294.03
30 Jan 2025,30 Jan 2025,MERCADOPAGO*ENHUMOBBQ   Iztapalapa,335.00
30 Jan 2025,30 Jan 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00
30 Jan 2025,30 Jan 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,510.85
29 Jan 2025,29 Jan 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,665.57
29 Jan 2025,30 Jan 2025,DON ASADO REFORMA       MEXICO,1323.30
28 Jan 2025,29 Jan 2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,422.44
28 Jan 2025,30 Jan 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
28 Jan 2025,29 Jan 2025,INGREDIENTA.COM         MIGUEL HIDALGO,1858.00
28 Jan 2025,28 Jan 2025,REST CHICAGO BERNIES    CUAUHTEMOC,286.00
27 Jan 2025,27 Jan 2025,AUDIBLE*ZG3IS2DF1       AMZN.COM/BILL,317.82
27 Jan 2025,27 Jan 2025,REST DR PIZZA CONDESA 0 CIUDAD DE MEX,989.00
27 Jan 2025,27 Jan 2025,UBER TRIP               HTTPS://HELP.UB,76.91
26 Jan 2025,26 Jan 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,119.20
26 Jan 2025,27 Jan 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,199.00
26 Jan 2025,27 Jan 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,299.00
26 Jan 2025,26 Jan 2025,AMAZON MX*AD FREE FOR P MEXICO CITY,50.00
26 Jan 2025,26 Jan 2025,BZPAY*KOYI SUSHI        CUAUHTEMOC,724.50
26 Jan 2025,27 Jan 2025,FUGU                    CIUDAD DE MEX,2935.95
26 Jan 2025,26 Jan 2025,NEWTON SIEMBRA          MEXICO,832.60
26 Jan 2025,26 Jan 2025,UBER TRIP               HTTPS://HELP.UB,108.68
26 Jan 2025,26 Jan 2025,UBER TRIP               HTTPS://HELP.UB,195.89
25 Jan 2025,26 Jan 2025,BUNA CAFE RICO SAPI     CIUDAD DE MEX,410.00
25 Jan 2025,25 Jan 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,233.25
25 Jan 2025,25 Jan 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,240.80
25 Jan 2025,25 Jan 2025,UBER TRIP               HTTPS://HELP.UB,94.87
25 Jan 2025,25 Jan 2025,UBER TRIP               HTTPS://HELP.UB,100.54
24 Jan 2025,25 Jan 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,1555.70
24 Jan 2025,24 Jan 2025,ANECDOTA CAFE           CIUDAD DE MEX,145.00
24 Jan 2025,25 Jan 2025,BILLPOCKET*CAFE V 15ADD CUAUHTEMOC,3200.00
24 Jan 2025,25 Jan 2025,MICHIGAN                MEXICO,211.20
