Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Status
2025-11-09,CAUCE RESTAURANT,Food,2085.88,117.19,2025-11.csv,
2025-11-09,MERPAGO*AURACAFE,Food,157.51,8.85,2025-11.csv,
2025-11-09,MOLDE,Food,1062.49,59.69,2025-11.csv,
2025-11-09,PAYU-UBER 828987,Transportation,182.26,10.24,2025-11.csv,
2025-11-09,PAYU-UBER 828987,Transportation,286.35,16.09,2025-11.csv,
2025-11-09,RAPANUI,Food,204.81,11.51,2025-11.csv,
2025-11-10,EL PREFERIDO,Food,5466.79,307.12,2025-11.csv,
2025-11-11,PASTASOLE,Food,823.05,46.24,2025-11.csv,
2025-11-12,BACKROOM,Shopping,677.18,38.04,2025-11.csv,
2025-11-12,COBRO SUR,Services,650.01,36.52,2025-11.csv,
2025-11-12,MERPAGO*SCOTCHANDSODA,Shopping,543.32,30.52,2025-11.csv,
2025-11-12,PAYU-UBER 828987,Transportation,56.27,3.16,2025-11.csv,
2025-11-13,CONROSAR SRL,Food,369.65,20.77,2025-11.csv,
2025-11-13,MASSEY FAMILIA,Food,3357.85,188.64,2025-11.csv,
2025-11-13,PAYU-UBER 828987,Transportation,72.08,4.05,2025-11.csv,
2025-11-14,MAS VISION,Shopping,3598.95,202.19,2025-11.csv,
2025-11-14,PAYU-UBER 828987,Transportation,25.02,1.41,2025-11.csv,
2025-11-14,PAYU-UBER 828987,Transportation,86.39,4.85,2025-11.csv,
2025-11-14,PAYU-UBER 828987,Transportation,86.76,4.87,2025-11.csv,
2025-11-14,PAYU-UBER 828987,Transportation,87.52,4.92,2025-11.csv,
2025-11-14,PAYU-UBER 828987,Transportation,154.70,8.69,2025-11.csv,
2025-11-14,PAYU-UBER 828987,Transportation,213.43,11.99,2025-11.csv,
2025-11-15,FAUSTO,Shopping,467.51,26.27,2025-11.csv,
2025-11-15,FAUSTO,Shopping,3607.04,202.64,2025-11.csv,
2025-11-15,HAVANNA MACRO,Food,1229.01,69.04,2025-11.csv,
2025-11-15,MERPAGO*VORTICE,Shopping,999.20,56.14,2025-11.csv,
2025-11-15,PAYU-UBER 828987,Transportation,211.17,11.86,2025-11.csv,
2025-11-15,POP HOME ELECTRO,Shopping,53.77,3.02,2025-11.csv,
2025-11-15,QUORUM,Shopping,431.56,24.24,2025-11.csv,
2025-11-15,QUORUM,Shopping,7196.58,404.30,2025-11.csv,
2025-11-15,RSI*GRANMAHATMA,Shopping,1603.92,90.11,2025-11.csv,
2025-11-16,PAYU-UBER 828987,Transportation,87.70,4.93,2025-11.csv,
2025-11-16,PAYU-UBER 828987,Transportation,100.69,5.66,2025-11.csv,
2025-11-17,MERPAGO*BYCGASTRONOMI,Food,323.34,18.17,2025-11.csv,
2025-11-17,OPTICA URIBURU,Shopping,4163.22,233.89,2025-11.csv,
2025-11-17,PAYU-UBER 828987,Transportation,98.70,5.55,2025-11.csv,
2025-11-17,PAYU-UBER 828987,Transportation,104.53,5.87,2025-11.csv,
2025-11-17,PAYU-UBER 828987,Transportation,119.82,6.73,2025-11.csv,
2025-11-18,PAYU-UBER 828987,Transportation,91.35,5.13,2025-11.csv,
2025-11-18,PAYU-UBER 828987,Transportation,92.67,5.21,2025-11.csv,
2025-11-18,PAYU-UBER 828987,Transportation,177.43,9.97,2025-11.csv,
2025-11-19,PAYU-UBER 828987,Transportation,112.64,6.33,2025-11.csv,
2025-11-19,PAYU-UBER 828987,Transportation,145.70,8.19,2025-11.csv,
2025-11-19,PAYU-UBER 828987,Transportation,173.04,9.72,2025-11.csv,
2025-11-20,MERPAGO*LEBLE,Shopping,156.26,8.78,2025-11.csv,
2025-11-20,PAYU-UBER 828987,Transportation,72.18,4.06,2025-11.csv,
2025-11-20,PAYU-UBER 828987,Transportation,113.02,6.35,2025-11.csv,
2025-11-20,PAYU-UBER 828987,Transportation,149.50,8.40,2025-11.csv,
2025-11-20,PAYU-UBER 828987,Transportation,243.91,13.70,2025-11.csv,
2025-11-21,PAYU-UBER 828987,Transportation,71.42,4.01,2025-11.csv,
2025-11-22,HAVANNA MACRO,Food,1609.14,90.40,2025-11.csv,
2025-11-22,MERPAGO*BLUECATERING,Food,616.79,34.65,2025-11.csv,
2025-11-22,MERPAGO*DULCECHARLOTTE,Food,408.60,22.96,2025-11.csv,
2025-11-22,MERPAGO*RFLIBROS,Shopping,268.22,15.07,2025-11.csv,
2025-11-22,MERPAGO*RFLIBROS,Shopping,737.41,41.43,2025-11.csv,
2025-10-29,Caversaschico-Caversas,Food,340.56,,nubank-credit-2025-11.csv,
2025-10-30,Moksha Coffee & Deli,Food,109.77,,nubank-credit-2025-11.csv,
2025-11-02,Moksha Coffee & Deli,Food,66.71,,nubank-credit-2025-11.csv,
2025-11-02,Moksha Coffee & Deli,Food,133.02,,nubank-credit-2025-11.csv,
2025-11-03,Personal Flow,Services,134.37,,nubank-credit-2025-11.csv,
2025-11-03,Caversaschico-Caversas,Food,331.55,,nubank-credit-2025-11.csv,
2025-11-03,Jf Palermo,Food,161.07,,nubank-credit-2025-11.csv,
2025-11-04,Merpago*Realrock,Food,69.80,,nubank-credit-2025-11.csv,
2025-11-07,Fruto Coffee Roasters,Food,93.10,,nubank-credit-2025-11.csv,
2025-11-07,Festival Bar,Food,375.28,,nubank-credit-2025-11.csv,
2025-11-10,Pop Home Electro,Shopping,39.56,,nubank-credit-2025-11.csv,
2025-11-10,Pop Home Electro,Shopping,26.85,,nubank-credit-2025-11.csv,
2025-11-10,Brasero Atlantico,Food,893.42,,nubank-credit-2025-11.csv,
2025-11-10,Propina*Brasero Atlant,Food,178.68,,nubank-credit-2025-11.csv,
2025-11-12,Urban Six,Entertainment,666.73,,nubank-credit-2025-11.csv,
2025-11-12,Caversaschico-Caversas,Food,145.68,,nubank-credit-2025-11.csv,
2025-11-12,Caversaschico-Caversas,Food,669.86,,nubank-credit-2025-11.csv,
2025-11-13,Pop Home Electro,Shopping,40.00,,nubank-credit-2025-11.csv,
2025-11-15,EMOVA SUBTE,Transportation,15.48,,nubank-debit-2025-11.csv,
2025-11-15,EMOVA SUBTE,Transportation,15.48,,nubank-debit-2025-11.csv,
